Breed_Description,,Gender,Suburb
SCHNAUZER MINIATURE,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,male,North Adelaide
STAFFORDSHIRE BULL TERRIER CROSS,,Female,Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,male,Adelaide
GREYHOUND,,Female,Adelaide
AMERICAN STAFFORDSHIRE TERRIER,,male,North Adelaide
MINITURE FOX TERRIER WIRE HAIR,,Female,North Adelaide
BOSTON TERRIER,,male,North Adelaide
GERMAN SHEPHERD DOG,,male,North Adelaide
POODLE STANDARD,,male,North Adelaide
POODLE TOY,,male,Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,male,Adelaide
GOLDEN RETRIEVER,,Female,North Adelaide
BORDER TERRIER,,male,Adelaide
GREYHOUND,,male,Adelaide
POODLE MINATURE CROSS,,Female,North Adelaide
GREAT DANE,,Female,North Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,Female,North Adelaide
LAGOTTO ROMAGNOLO,,male,Adelaide
BREED UNKNOWN,,Female,Adelaide
,,,
GOLDEN RETRIEVER,,Female,Adelaide
