OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
164,2005-11-02T09:46:32.000Z,,cm,500,Pontoon,No1 Dock,PORT ADELAIDE,,Maintenance,,,1525.250167,330.986709
165,2005-11-02T09:46:32.000Z,,cm,215,Old Port Canal Gardens,Hack St,PORT ADELAIDE,Passive,,,,9819.994299,479.536507
166,2005-11-02T09:46:32.000Z,,cm,249,Port Adelaide Library,Church St,PORT ADELAIDE,Passive,,,,571.224439,130.481425
167,2005-11-02T09:46:33.000Z,,cm,222,Wellington St Pump Station,Clementina Dr,PORT ADELAIDE,Passive,,,,8512.483468,431.146267
168,2005-11-02T09:46:33.000Z,,cm,226,James Bailey Reserve,Portland Rd,QUEENSTOWN,Passive,,,,1973.080688,192.943131
169,2005-11-02T09:46:33.000Z,,cm,225,Old Port Rd Plantation,Old Port Rd,QUEENSTOWN,Passive,Plantation,,,37649.988169,2066.647585
170,2005-11-02T09:46:33.000Z,,cm,351,Queenstown Community Hall,Spring St,QUEENSTOWN,,,,,1063.391692,161.211021
171,2005-11-02T09:46:33.000Z,,cm,227,Westport Reserve,Simpson Ave,QUEENSTOWN,Passive,,,,6316.378617,617.511752
172,2005-11-02T09:46:33.000Z,2008-05-16T09:14:41.000Z,cm,231,Regency Park Oval,South Rd,REGENCY PARK,Active,,,,49819.468795,894.871265
175,2005-11-02T09:46:33.000Z,,cm,280,Rosewater/Ottoway Senior Citizens,Grand Junction Rd,ROSEWATER,Passive,,,,2483.760572,208.122353
176,2005-11-02T09:46:34.000Z,,cm,233,Duffield Reserve / Playground,Davidson St,ROSEWATER,Passive,,,,1159.810594,136.714881
177,2005-11-02T09:46:34.000Z,,cm,234,Eric Sutton Reserve,Canning St,ROSEWATER,Active,Rosewater Oval,,,24151.658769,634.750091
178,2005-11-02T09:46:34.000Z,,cm,235,Drainage Reserve,Jenkins St,ROSEWATER,Passive,,,,7430.358672,1032.31055
179,2005-11-02T09:46:34.000Z,,cm,236,McNicol Tce Reserve,McNicol Tce,ROSEWATER,Passive,,,,1067.403494,130.766303
180,2005-11-02T09:46:34.000Z,,cm,281,Russell St Ponding Basin,Russell St,ROSEWATER,Passive,,,,2459.035207,209.276142
182,2005-11-02T09:46:34.000Z,,cm,242,Robin Rd Reserve,Lot 200 Robin Rd,SEMAPHORE,Passive,,,,2322.182261,260.849779
186,2005-11-02T09:46:35.000Z,,cm,253,Kenmare St Reserve,Kenmare St,TAPEROO,Passive,,,,6042.975949,308.893586
187,2005-11-02T09:46:35.000Z,,cm,255,Norama St Reserve,29 Norama St,TAPEROO,Passive,,,,785.954704,120.051294
188,2005-11-02T09:46:35.000Z,,cm,252,Goldingham St Reserve,Goldingham St,TAPEROO,Passive,,,,1013.763576,131.915869
189,2005-11-02T09:46:35.000Z,,cm,254,Paringa St Reserve,Paringa St,TAPEROO,Passive,,,,4068.030316,419.802495
190,2005-11-02T09:46:35.000Z,,cm,257,Roy Marten Park,Military Rd,TAPEROO,Passive,,,,38935.839269,869.160853
191,2005-11-02T09:46:35.000Z,,cm,260,White Hollow,Lady Gowrie Dr,TAPEROO,Passive,,,,21339.606701,649.610767
192,2005-11-02T09:46:36.000Z,,cm,263,Cornell Ave Reserve,Cornell Ave,VALLEY VIEW,Passive,,,,2938.428973,212.39185
193,2005-11-02T09:46:36.000Z,,cm,266,Haddington St Reserve,Haddington St,VALLEY VIEW,Passive,,,,12971.720834,1139.716711
194,2005-11-02T09:46:36.000Z,,cm,267,Hawick St Reserve,Hawick St,VALLEY VIEW,Passive,,,,5318.030165,322.183138
195,2005-11-02T09:46:36.000Z,,cm,265,Down Dr Reserve,Down Dr,VALLEY VIEW,Passive,,,,16969.361124,1296.62902
