Breed,De-sexed,Gender,Suburb
Staffordshire Bull Terrier              ,Y,M,HAWTHORNDENE                       
Weimeraner                              ,Y,M,CRAIGBURN FARM                     
Havanese                                ,Y,M,MELROSE PARK                       
Border Collie                           ,Y,M,BELAIR                             
Beagle                                  ,Y,M,GLENALTA                           
Maltese                                 ,Y,M,CLARENCE GARDENS                   
Beagle                                  ,Y,F,HAWTHORNDENE                       
Border Collie                           ,Y,M,BELAIR                             
Chihuahua Long Haired                   ,Y,M,CLARENCE GARDENS                   
Australian Shepherd                     ,Y,M,BELAIR                             
Golden Retriever                        ,Y,F,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,HAWTHORNDENE                       
Labrador                                ,N,M,MELROSE PARK                       
Maltese                                 ,Y,F,BELAIR                             
Labrador                                ,Y,M,GLENALTA                           
Bearded Collie                          ,Y,F,BLACKWOOD                          
Labrador                                ,Y,F,KINGSWOOD                          
Labrador                                ,Y,F,TORRENS PARK                       
Maltese                                 ,Y,M,COROMANDEL VALLEY                  
Moodle                                  ,Y,M,EDEN HILLS                         
Border Collie                           ,Y,F,TORRENS PARK                       
Beagle                                  ,Y,F,GLENALTA                           
Maltese                                 ,Y,M,HAWTHORN                           
Bernese Mountain Dog                    ,Y,F,MITCHAM                            
Miniature Schnauzer                     ,Y,F,BELAIR                             
Dachshund Miniature                     ,Y,M,HAWTHORN                           
Labrador Retriever                      ,Y,M,BELLEVUE HEIGHTS                   
Labrador Retriever                      ,Y,F,TORRENS PARK                       
Maltese                                 ,Y,M,HAWTHORNDENE                       
Australian Kelpie                       ,Y,M,BLACKWOOD                          
Golden Retriever                        ,N,M,BLACKWOOD                          
Maltese                                 ,Y,M,PANORAMA                           
Cavalier King Charles Spaniel           ,Y,F,PASADENA                           
Golden Retriever                        ,Y,M,BELLEVUE HEIGHTS                   
Labradoodle                             ,Y,M,COROMANDEL VALLEY                  
Dobermann                               ,Y,M,HAWTHORNDENE                       
Staffordshire Bull Terrier              ,Y,F,ST MARYS                           
Cavalier King Charles Spaniel           ,Y,M,MITCHAM                            
Moodle                                  ,Y,M,BELAIR                             
Shih Tzu                                ,Y,M,CLARENCE GARDENS                   
Tibetan Spaniel                         ,Y,M,BLACKWOOD                          
Golden Retriever                        ,Y,M,CLARENCE GARDENS                   
