Breed_Description,desexed,sex,Suburb
Fox Terrier (Smooth),yes,Female,YATTALUNGA
Labrador Retriever,no,Male,ELIZABETH
Maltese X,no,Female,DAVOREN PARK
Maltese X,no,Male,HILLBANK
Jack Russell Terrier,no,Female,BLAKEVIEW
Bull Terrier,yes,Female,PENFIELD GARDENS
Collie (Rough Coat) X,no,Male,ANGLE VALE
Maltese X,no,Female,HILLBANK
X Breed,yes,Male,BLAKEVIEW
Staffordshire Bull Terrier X,no,Male,BLAKEVIEW
Collie (Rough),no,Male,HILLBANK
Jack Russell Terrier,no,Female,CRAIGMORE
Tibetan Spaniel,no,Female,ELIZABETH DOWNS
Australian Cattle Dog,no,Female,ANDREWS FARM
Fox Terrier (Smooth),no,Female,CRAIGMORE
Australian Cattle Dog,yes,Female,ELIZABETH PARK
Maltese,yes,Male,ELIZABETH NORTH
Beagle,yes,Female,ELIZABETH DOWNS
Dachshund X,yes,Female,ELIZABETH PARK
Maltese X,no,Male,HILLBANK
Alaskan Malamute,no,Male,ELIZABETH VALE
Golden Retriever,no,Male,ELIZABETH GROVE
Poodle (Toy),no,Male,BLAKEVIEW
Staffordshire Bull Terrier X,no,Male,BLAKEVIEW
German Shorthaired Pointer,yes,Female,HILLBANK
Rottweiler,no,Male,WATERLOO CORNER
Border Collie,no,Male,BLAKEVIEW
Staffordshire Bull Terrier X,yes,Female,ELIZABETH
Maltese X,no,Female,CRAIGMORE
Australian Terrier,no,Male,CRAIGMORE
Australian Kelpie X,yes,Female,ELIZABETH VALE
West Highland White Terrier,yes,Male,BLAKEVIEW
Maltese,no,Male,SMITHFIELD
Jack Russell Terrier,yes,Female,VIRGINIA
Maltese X,no,Male,CRAIGMORE
Maltese X,yes,Male,ELIZABETH GROVE
Tenterfield Terrier,no,Female,ELIZABETH EAST
Shih Tzu X,no,Female,ELIZABETH NORTH
Dachshund,no,Male,ELIZABETH DOWNS
Maltese X,no,Female,BLAKEVIEW
Staffordshire Bull Terrier,no,Male,ANDREWS FARM
Italian Greyhound,yes,Female,BLAKEVIEW
Rottweiler X,no,Male,ANGLE VALE
Maltese X,no,Male,CRAIGMORE
Maltese X,no,Male,CRAIGMORE
Schnauzer (Miniature),no,Female,CRAIGMORE
Schnauzer (Miniature),no,Male,CRAIGMORE
Maltese X,no,Male,ANDREWS FARM
Fox Terrier (Smooth)  X,no,Female,SMITHFIELD PLAINS
Jack Russell Terrier,yes,Female,ELIZABETH NORTH
Australian Terrier,no,Female,HILLBANK
Jack Russell Terrier,no,Male,BLAKEVIEW
German Shepherd Dog,no,Female,CRAIGMORE
Labrador Retriever,no,Male,ANGLE VALE
Border Collie,yes,Female,ELIZABETH PARK
Australian Kelpie,no,Male,YATTALUNGA
Rottweiler X,no,Female,ANDREWS FARM
Border Collie X,yes,Male,CRAIGMORE
Australian Cattle Dog X,no,Female,ANDREWS FARM
Jack Russell Terrier X,no,Female,BLAKEVIEW
Australian Cattle Dog,no,Female,ANDREWS FARM
Australian Kelpie X,no,Female,HILLBANK
X Breed,no,Male,ANDREWS FARM
Bull Terrier,yes,Female,BLAKEVIEW
Australian Cattle Dog,no,Male,DAVOREN PARK
Australian Kelpie X,yes,Female,ANGLE VALE
Japanese Chin,no,Female,BLAKEVIEW
Labrador Retriever,no,Female,CRAIGMORE
Tenterfield Terrier,no,Female,ELIZABETH PARK
Maltese X,no,Female,HILLBANK
Terrier X,no,Male,ANDREWS FARM
Jack Russell Terrier,no,Male,HILLBANK
Border Collie,yes,Male,ANDREWS FARM
Australian Cattle Dog,yes,Male,ELIZABETH EAST
Maltese X,no,Male,CRAIGMORE
Labrador Retriever,no,Male,HILLBANK
Fox Terrier (Smooth),no,Male,ELIZABETH PARK
Pomeranian,no,Female,ANGLE VALE
Fox Terrier (Smooth),yes,Male,CRAIGMORE
Shar Pei,no,Female,ANGLE VALE
Chihuahua,yes,Female,HILLBANK
Australian Kelpie X,yes,Female,BIBARINGA
Pomeranian,no,Female,CRAIGMORE
Maltese X,no,Female,CRAIGMORE
Rottweiler X,no,Female,ANDREWS FARM
Dalmation,no,Female,ELIZABETH VALE
Maltese X,no,Female,DAVOREN PARK
Shih Tzu,no,Male,SMITHFIELD
Maltese X,yes,Female,ELIZABETH PARK
German Shepherd Dog,no,Male,CRAIGMORE
Schnauzer (Miniature),no,Male,BLAKEVIEW
Maltese X,no,Female,ELIZABETH GROVE
Poodle,yes,Female,HILLBANK
Shih Tzu X,no,Female,CRAIGMORE
Australian Cattle Dog X,no,Female,VIRGINIA
Jack Russell Terrier,no,Female,CRAIGMORE
Maltese X,no,Male,HILLBANK
Chihuahua,yes,Female,ELIZABETH NORTH
Collie (Rough Coat) X,no,Male,DAVOREN PARK
Chihuahua,yes,Male,ELIZABETH DOWNS
Tenterfield Terrier,no,Male,ELIZABETH EAST
